title,label,record,style,release_date,comments,rating,description,URL
Various - PGH Electro Vol. 1,Is / Was,IW03,Electro,February 2018,4,3.7,"Several Midwest-based producers have received some well-deserved attention lately. Thanks to killer records from Dwayne Jensen and Chase Smith, the Pittsburgh label Is / Was has been central to this development. Instead of the bounding charm of its first two releases, the PGH Electro Vol. 1 compilation shows a darker side of the Midwest scene, but it feels like a natural continuation from Smith's bouncy electro and acid jams. Hits Only's ""Trion-4"" grabs you with gracefully pirouetting hi-hats, pixelating synth arpeggios and sharp percussion. Feeling like two tracks in one, its first half has a UK techno vibe that slithers into gargling 303s and dizzying synth sequences.  Where the A-side holds tough rhythms with a polished sheen, Shawn Rudiman handles the B-side with the raw sound of modular workouts recorded in his overwhelmingly packed studio. The menacing acid-tinged electro of ""Asimolar"" thumps straight through your body. Rudiman's words in a recent documentary seem to apply here: ""It's like when you're waiting for a wave out in the ocean. You feel it picking up and you think, this is it—I'm riding this to the beach.""",https://www.residentadvisor.net/reviews/22174
Loco Dice - Roots,Desolat,DESOLAT060,"Techno, House",February 2018,8,2.9,"With help from his studio partner Martin Buttrich, Loco Dice spent much of the '00s supplementing his flourishing DJ career with a steady run of slick minimal bombs on labels like Ovum, Cadenza and Minus. ""Seeing Through Shadows"" and ""Tight Laces,"" which featured on Dice's excellent debut album, were hits on the world's coolest dance floors. But as his profile ballooned in the early '10s, his output slowed, before completely grinding to a halt around 2012. When he returned three years later with a new album packed with unlikely—and in some cases unfortunate—collaborations, the Dice of old was barely recognisable.  Three years later Dice seems to have had a change of heart. His latest single, ""Roots,"" might not capture the magic of the '00s, but it's far from a slice of cheesy pop-house. The first two minutes, in particular, are solid. A bleepy melody prances over crunchy drums, the groove frisky without overdoing it. Things slip in the second half, as expansive big-room synths, a second melody and the sound of a spring being flicked clutter the composition. The gruff vocal also jars, so reach for the instrumental version. Roots might show Dice back on the right path, but there's still a long way to go.",https://www.residentadvisor.net/reviews/22264
P. Adrix - Álbum Desconhecido,Principe,P022,"Kuduro, Batida",February 2018,3,4.0,"Lisbon's post-kuduro batida community has churned out young producers since it first gained international recognition around 2013. But as with any newly popular scene, it can eventually become challenging telling artists apart. Enter P. Adrix. At a time when many immigrants are going the opposite direction, the Lisbon-native moved to Manchester three years ago at the tender age of 19.
 There's no telling what the move did to Adrix's music, which definitely has its own flavor. It has the sparseness of his Príncipe contemporaries, albeit with different relationship with bass, reflecting a love of hip-hop or perhaps the soundsystem culture so foundational in the UK. It's booming and elastic in the brief trap breakdown in ""Zelda Shyt"" and the mantric bounce of ""Abertura Da Roda,"" which isn't far from Jersey club. It's a good foundation for earworm flourishes like the woody clicks in ""Estação De Queluz,"" the flutey synths and heavy breathing accents of ""Viva La Raça"" and the sinuous tarraxo groove of ""Sonhos."" Like most post-kuduro batida, Álbum Desconhecido is fun and frantic with an oblong funk that outsiders will have a hard time replicating. For Adrix, the way his music rubs against other styles feels most exciting.",https://www.residentadvisor.net/reviews/22199
Dengue Dengue Dengue - Son De Los Diablos,Enchufada,ENLP089,Bass,February 2018,2,3.8,"Few producers do percussion like Dengue Dengue Dengue. The Peruvian duo weave dense webs of interconnected grooves, balancing Afro-Latin rhythms and modern bass music. They don't shy away from using long samples or colorful lead melodies, bold songwriting elements that make their tracks feel like more than just DJ tools. They are in play on Son De Los Diablos (""Sound Of The Devils""), their first EP since the 2016 album, Siete Raíces.  The title track is a great example. Rather than going straight in with a percussive groove, they foment a tense mood with violin strokes resonating in negative space. The shakers and hand drums come in bit by bit, and the bass that kicks in at the one-minute mark is so thick that it's alarming. The melodies are almost always simple three- or four-note lines, but they're layered in a way that makes them work. That's especially clear on ""Buscando."" The digital marimba is just a little bit dissonant, making for an ambiguous tone somewhere between ominous and celebratory—a line these two are particularly good at towing. There's a yawning, fantasmic vocal clip (""Estoy buscando,"" or ""I'm searching"") that injects a bit of sadness, too.  ""Flootz"" centers on muffled loops of hand claps and chants tied to an unhurried 4/4 beat that will warm up a dance floor. A spacious mid-range makes it fun to DJ with, leaving plenty of room for incoming and outgoing tracks in the mix. ""Cobre,"" with its flute melodies and spacious reverb, contains whispers of classic dubstep tracks like Skream's ""Rutten,"" though the percussion skips instead of stomping. Son De Los Diablos is no real departure from what we heard on Siete Raíces, but as the old saying goes, if it ain't broke don't fix it.",https://www.residentadvisor.net/reviews/22192
Philipp Otterbach ‎- Humans,Tour Messier,TM01,Techno,February 2018,Post a comment,3.8,"Humans is a murky and unsettling record. A sense of mystery is its most endearing quality, refusing to give up its secrets no matter how many times you hear it. The EP inaugurates the Dutch label Tour Messier, a new outlet intended for non-dance floor music with hidden depths. Featuring three ambient soundscapes and a groggy beat tune, Humans is the German artist Philipp Otterbach's first full EP. He's released more clubby fare in the past on the Essen/Berlin label Grokenberger Records, but even those tracks had a haunted quality. (Check ""Shake The Shackles,"" a two-part tribal meditation.) Otterbach is a heady producer, and Humans is his most potent collection to date.
 The first three tracks drift through eerie terrain. They're spacious but stifling compositions, filled with a scant few details and the faintest pulse of forward-motion. There are voices muttering to themselves in hushed tones—or are they trying to communicate? ""Mfz1YrpMbBg"" is loaded with shadowy moans, chanting and a female sample that, though inaudible, sounds distressed. Like a horror master, Otterbach only hints at a morbid picture, letting our imaginations do the rest. ""5CnAPD39cUQ"" works all that cinematic drama into a glutinous club track that oozes and glides.",https://www.residentadvisor.net/reviews/22111
Martyn Bootyspoon - Silk Eternity,Fractal Fantasy,N/A,Club,February 2018,3,3.8,"Dance music can be faceless. It's hard to get a sense of a producer's personality based on the way they arrange their synthesizers, so it's refreshing when someone like Martyn Bootyspoon delivers an EP saturated with charisma. The Montreal artist has almost no prior solo discography, though he's worked with other producers on projects for Fractal Fantasy, the label run by Sinjin Hawke and Zora Jones. On Silk Eternity, he's not only the producer but the master of ceremonies, sermonizing over his own modern club rhythms.  The opening track, ""Spread That Kat,"" sets the tone, with its oversexed lyrics and a barebones drum machine beat that borrows from Night Slugs and Chicago house. ""Steam"" begins like a stripped-back drum track, but it erupts unexpectedly with bright synths that disappear just as quickly. ""The Grid"" is hilarious, with Bootyspoon delivering an erotic monologue about cloud computing and data mining over booming 808 kicks. ""What are you browsing?"" he teases. ""Let's go through your browser history. You browse my Instagram and your data plan is overflowing... with joy."" The seductive tone is reminiscent of '90s spoken-word house tracks, especially naughty ones like Cajmere's ""Chit Chat.""  Speaking of Chicago, it's impressive that Fractal Fantasy wrangled a remix from one of the city's most storied producers, Steve Poindexter, who's only put out a handful of tracks in the last eight years. He straightens the spastic rhythms of ""Spread That Kat"" into a punishing house banger. Not only a peak-time bomb, it's also a clever bit of A&R, considering the original samples Poindexter's classic ""Work That Motherfucker."" On the more abstract ""Helicoptah Dance,"" we hear Bootyspoon's knack for sound design, which comes across through the delicious synth textures. Silk Eternity is a colorful portrait of a larger-than-life character.",https://www.residentadvisor.net/reviews/22191
Etienne - V3,Sequalog,SEQG003,"Techno, Electro, Minimal",February 2018,1,3.9,"It feels like Etienne has been making music for much longer than his relatively small catalogue suggests. His debut EP, Airmetique, began things in 2015 with techy rollers that had the swing of UK garage. But with skipping claves, claps and disorientating synths, it was his following record for the London-based Undersound Recordings that really launched his minimal sound. V3, Etienne's latest EP, veers in a different direction. In a shift first heard on last year's split EP with TC80, he streamlines some of the elements that characterised Dez, bringing a new dimension to his music.
 There has been an increase in minimal producers adopting the liquid waves of the 303, and Etienne is no exception. ""V3"" guides you through an underwater tunnel where metallic synths and aquatic acid sounds merge with a hefty kick, short claps and clacking hi-hats. The record glides along at a steady pace until ""Halycon""'s frantic stomp throws us into a peak-time dance floor, after which ""Azur"" cools the temperature with glacial pads that signal that the end of the night may be near.",https://www.residentadvisor.net/reviews/22119
S & M Trading Co. - Metal Surface Repair,Fit,FIT019,"House, Techno",February 2018,2,3.7,"DJ Sotofett and Aaron ""FIT"" Siegel have worked together, on some level, for years. They've toured Europe as a duo, hosted each other at parties in Detroit and Berlin, remixed tracks and jammed together in various configurations. They've also managed to log some hours in Siegel's studio, housed in the pivotal US dance music store and distributor Submerge. It was only a matter of time until FIT and Sotofett launched an official collaborative project. Their debut as S & M Trading Co. was recorded way back in 2011, with each producer chipping away at the final versions in the years since.
 Siegel and Sotofett have a knack for crafting tracks with an epic scope. ""Metal Surface Repair"" fits the bill, cycling through three movements over the course of ten minutes. The melancholic intro recalls FIT's breakthrough track, ""Carmine,"" and low-key Detroit classics like Model 500's ""Pick Up The Flow."" After traversing a knotty, acidic middle section, we're treated to a gorgeous ambient techno resolve. A two-note 303 line complements Sotofett's loose, dubby percussion as skyward synths bring home the pensive, optimistic mood.  If you don't feel like waiting six minutes for that payoff, flip the record for the ""Synthetic Mix,"" an ambient version of ""Metal Surface Repair'""s stunning conclusion. Like Sotofett's recent collaboration with LNS, the ""Soft Peak Mix,"" the ambient piece is a winning gesture towards Artificial Intelligence-era influences. Metal Surface Repair is stuffed with ideas, but the best track off the duo's promising debut is its simplest.",https://www.residentadvisor.net/reviews/22193
Aalko - No Man Is An Island,Kebko Music,KEB004,"Electronic, Techno, Experimental",January 2018,Post a comment,3.8,"Akiko Kiyama has made the weirdest music of her career during the past two years. From 2004 till 2015, her EPs and LPs surfaced on the sort of labels—Contexterrior, Lick My Deck, District Of Corruption—and mixes—most notably Richie Hawtin's DE9 | Transitions—you'd expect of a solid minimal techno producer. It's much harder to describe what Kiyama, as Aalko, is doing on No Man Is An Island. A three-track sampler from an album of the same name, the EP follows a series of experimental records on Kebko Music, the label Kiyama set up two years ago, where oddball composition has reigned, most notably on her excellent 2015 LP, Ophelia.
 ""Body & Soul""'s drum track is slashed in vandalising strokes by toms, flatulent synths, squeezed latex and anything else that will halt the rhythm. (A tongue-in-cheek bass guitar lick is the track's only constant.) ""Mixture"" is similarly unsettled. The breakbeats are thinly sliced, and often cut out suddenly. The percussion, a mix of live drum sounds and machine-derived claps and hats, is arranged in disjunctive, overlapping patterns. ""Mixture""s disorderly vibe is brought out by a digital slide whistle, which is both funny and annoying. If these arrhythmic stretches have limited appeal for fans of her old stuff, then the dub techno of ""B.I.C."" is a fine reminder of Kiyama's dance floor pedigree.",https://www.residentadvisor.net/reviews/22188
Flow ‎- Trine,Tardis,TAR008,"Tech House, House",February 2018,10,4.2,"Recent EPs from artists like The Persuader and Losoul have seen Tardis push a deep and dubby sound suited to warm-up sets and afterhours. Trine, featuring three tracks produced in the '90s by the revered but little-known UK tech house artist Flow, puts the label back in the realm of peak-time DJs. The highlight is ""Boy Girl Action,"" a ten-minute house bomb that occupies the full A-side. It's built around a monster bassline that would take over a room if played through the right soundsystem, pitching up and down as snappy percussion skips above. The mood is serious but the groove is strong, buoyed by twisted licks of synth and vocals calling out from deep within the mix. There's no breakdown and the energy stays high for the full ten minutes, making this a tune you could play from beginning to end if the placement is right.  The two B-side tunes aim for different moods. ""Trine"" is introspective and vaguely positive, employing a bold bassline and shuffling drums. Its wailing female vocal, clipped from an unknown source, captures the sound of '90s rave, as do the cosmic pads that give the track a sentimental touch. An easygoing groove makes ""I See You"" the most versatile tune. There isn't a clear melody, so vocoder vocals and a ghostly whisper supply the colour, gliding atop yet another fat bassline. Already picked up by DJs like Ricardo Villalobos and Dorian Paic, it won't be long until Trine blows a hole in a dance floor near you.",https://www.residentadvisor.net/reviews/22249
Various - Introduction EP,Intergraded,INTGRD001,1 / View,February 2018,3.8,3.8,"Harry Agius, AKA Midland, gives back to the scene with his new Intergraded label. It's a platform for emerging artists, and its first release contains debuts from the Londoners Jay and Peach, plus new tracks by Body In The Thames and Webstarr. Body In The Thames sets the stage with ""Silver Threaded Crystal Beads,"" a fun, percussion-heavy opener with a rhythm that reminds me of Errorsmith's ""Superlative Fatigue."" Peach has made waves for the last year and a half as a DJ and a host at Radar Radio and NTS. Her production debut, ""Silky,"" is a great example of the energetic house tracks she's known to spin. While the vocal sample pays homage to the style's more classic side, its fast-paced intensity is anything but nostalgic.
 ""Balsam Drum"" by the SIREN collective member Jay is blissful with varied drum patterns and a mix of organic and synthetic sounds. Its muffled kick drum rumbles before erupting into a satisfying 4/4 pattern, keeping pace with conga-like drums and a baseline that recalls the sound of bees humming. Jay strings these elements together effortlessly, as if they were dispatches from the same extraterrestrial club night. Webstarr's ""The Muse"" captures the darker moods of the dance floor, closing out a well-rounded EP that would be a solid weapon for any house and techno DJ's record bag.",https://www.residentadvisor.net/reviews/22202
Taraval - No Coast,Hypercolour,HYPE069,Techno,March 2018,Post a comment,3.6,"Since his last record as Taraval, Ryan Smith has kept busy with some unusual collaborative projects. The Canadian's solo alias, however, sticks to a simple brief: to make characterful dance music for big rooms. Like the second of his two records for Four Tet's Text, No Coast veers from the disco-house flavours of Smith's early tracks towards a tougher and often darker techno sound. The most colour we get comes in ""Stan's Loon,"" where melodic flurries and glistening chords spice up a buoyant circa-120 BPM groove. Wild clap barrages don't enter until the last 90 seconds or so, the arrangement equivalent of getting two thirds through your jog and realising you've barely broken a sweat.
 But mostly the mood is gloomier. On ""No Coast"" a chilly klaxon bleep brings the dystopian drama, around which Smith sneaks in quietly funky percussion. The other tracks splay arps and chord stabs polyrhythmically across the groove—a standard big-room techno technique, only Smith's synths warp and wobble with an unusual gooey softness. ""Kima Jima""'s lead line is furtive, scuttling down the piano roll as if fleeing the scene of a crime, before gentler kosmische colouring soothes it. ""Topaz's Way"" lacks this calming element. It's the EP's straightest—and most banging—track, but it still has a hint of the oddball flair that marks Smith out.",https://www.residentadvisor.net/reviews/22210
Binh - Eastern Bloc,Cabaret Recordings,CABARET016,"Minimal, Techno",February 2018,1,4.0,"Cabaret's streak of fresh and intriguing minimal that stretches the genre's parameters continues in 2018. Its first record of the year, Eastern Bloc, comes from their regular collaborator Binh. His first two EPs on the label—Downtown and Buyout—played with a toolbox of vocal samples, with his use of Drake's voice on ""Downtown"" recalling Madteo's creepy reimagining of the Canadian rapper on ""Rugrats Don't Techno For An Answer.""
 Straying from vocals, Binh's latest record for Cabaret is more in line with his recent work for other labels. He focusses on a different set of production tools that contrast with the icy toughness of Downtown and Buyout. Where the eerie presence of space lent unnerving character to those records, Eastern Bloc fills the void with Binh's production quirks. A warmth permeates the EP, conveyed through radiant synths, springy basslines and the upbeat roll of Binh's bouncy kick drums. ""Eastern Bloc"" and ""Revdone"" beam down rays through shiny melodies, sounds of a minimal master showing his sunnier side.",https://www.residentadvisor.net/reviews/22236
Mica Levi - Delete Beach,DDS,DDS024,"Electronic, Experimental, Ambient",February 2018,3,3.9,"""I've just always been interested in those glisses,"" the composer Mica Levi said of glissandos, one of her musical signatures, the tonal slide where sweet can become sour, or, as on her BAFTA-nominated score for Under The Skin, something much worse. They're not as central to her latest film soundtrack, the anime short Delete Beach, but she leaves other recognisable marks. On ""Interlude 1,"" grave strings—not unlike those heard on Under The Skin—heave through simple kick-snare drums and bright synth melodies. Another melody—slightly warmer, no less aglow—is anchored by sleepy piano keys on ""Interlude 2."" The first track is Kuedo on codeine; the second is more hopeful.  They're of a piece with the Japanese, English and instrumental versions of ""Delete Beach."" On the first two, we're listening to a young ""burner"" or ""lemming"" on the beach lamenting her failure ""to join comrades underneath [the ocean], slowly becoming oil over time."" (In the film, oil is illegal, but the burners regard it with spiritual awe.) The music undergoes several phases, possibly dictated by the speaker's mood. At first, orchestral strings and sea waves lap gently, then, as she recalls moments from her past, feedback screeches amid cooing synth pads. (""Interlude 2""'s melody reappears shortly after.) Throughout these stark ambient passages, you get a sense of the world the narrator is railing against. Levi mirrors the ""defeated"" activist's perspective with suggestive contrasts: call-and-response tones, clean and dirty surfaces, high- and low-tech chirps, all shifting in the tides of the ocean the burner hasn't quite reached.",https://www.residentadvisor.net/reviews/22157
